,ds,yhat,yhat_lower,yhat_upper
231,2021-11-23,221.43895639804705,160.60630377656884,283.3578807804284
232,2021-11-24,244.18560993352096,182.9517064850851,309.09751572165897
233,2021-11-25,239.32640769710446,177.2522678960861,304.2316077730536
234,2021-11-26,229.57345666478705,166.9922477628572,292.76580692381924
235,2021-11-29,234.81764315382182,172.59147732631294,296.6655670737319
236,2021-11-30,233.26039392246145,169.37563821309564,298.9420460736096
237,2021-12-01,255.48118699639508,197.35656386922955,319.59850684143277
238,2021-12-02,249.7434761315703,183.85216546462868,312.381656621856
239,2021-12-03,238.76016204623824,177.3524634971008,298.80692240630043
240,2021-12-06,238.4306834279955,178.54860225147195,297.09534336244013
241,2021-12-07,234.52521575798377,166.91753646704262,296.65524770579276
242,2021-12-08,254.2257095680956,194.63211404946966,316.9732629713086
243,2021-12-09,245.8780711651755,184.57480120089323,306.1957370504384
244,2021-12-10,232.24829985096736,167.28824755389684,292.01967249692905
245,2021-12-13,224.38472702182713,160.72803655109746,288.9506022407801
246,2021-12-14,218.32196371094986,148.141993817076,281.03653312839464
247,2021-12-15,236.12847976424118,179.82954942839146,300.742354607987
248,2021-12-16,226.2232416182908,164.92504092704763,290.6008312161853
249,2021-12-17,211.40454784425842,146.425217884944,272.7079275689171
250,2021-12-20,202.44475213732926,144.42249044994867,268.4755630632234
251,2021-12-21,196.89149839408074,135.056126518504,257.8991559962963
252,2021-12-22,215.62940618013636,155.89947648621276,277.7205763907851
253,2021-12-23,207.08194353098887,147.1498131557935,269.0120076602377
254,2022-01-04,201.71873135030293,135.06569564499893,265.5634056654857
255,2022-01-05,225.48364001284358,163.10504925409938,290.0372459094831
256,2022-01-06,221.72505911251312,156.8508109949211,284.39360508470673
257,2022-01-07,213.0880903619067,149.9741562398593,276.03273384878577
258,2022-01-10,221.6045530029297,160.19936100227198,281.67933445074556
259,2022-01-11,221.17384734202557,159.0022217644116,283.5948047497626
260,2022-01-12,244.49066894677645,178.04104420051704,306.4398416989861
261,2022-01-13,239.97209212079702,176.6063622495923,302.9660629828898
262,2022-01-14,230.28734548602552,166.5462731369997,296.91199297510985
263,2022-01-17,234.32964411954117,170.8601419304458,296.7776180075326
264,2022-01-18,232.12954507255265,171.75550651977525,297.77895418818207
265,2022-01-19,253.6097634573834,192.7562550933126,317.98111005701725
266,2022-01-20,247.25924970797277,182.73927119022332,311.8013056446082
267,2022-01-21,235.78329969592588,173.0815137164388,292.33095728128967
268,2022-01-24,235.06277407798066,174.1497496969793,295.912068269782
269,2022-01-25,231.58732883140377,170.47645547441596,291.73139695195454
270,2022-01-26,251.97065784691716,185.22401287720788,309.25906575507986
271,2022-01-27,245.38115718122788,182.16309380322048,309.37574556389507
272,2022-01-28,233.80319005247014,173.29608010661784,299.34758615388944
273,2022-01-31,233.93132234698984,165.051155106658,293.8045220530034
274,2022-02-01,230.98773403256538,168.6664997185194,292.72360351165855
275,2022-02-02,252.4220846744215,187.34805577647893,312.4441102216898
276,2022-02-03,245.84514115780487,186.1721598617396,310.278469793432
277,2022-02-04,234.2292966988606,168.54377833529813,296.9957261078462
278,2022-02-07,234.7499724717305,174.40367393485346,296.3409538552378
279,2022-02-08,231.7332876912186,169.12859975299634,294.84492293323757
280,2022-02-09,253.40593051003165,188.31531874970727,317.39364225463333
281,2022-02-10,246.42746269670602,182.64928193339205,308.21575627506684
282,2022-02-11,234.16624910226278,171.29007788168087,294.4962400059584
283,2022-02-14,232.41874438823456,170.38901171346146,290.96039461381787
284,2022-02-15,228.3009462320503,164.85034092178097,288.93602501816946
285,2022-02-16,249.19316429276077,185.67470924549238,312.45942289111116
286,2022-02-17,240.8547894315367,175.55988544290386,303.9302710382538
287,2022-02-18,227.10088876009968,164.2548596198879,291.36730980549845
288,2022-02-21,221.67602617692347,158.2400347076529,286.25278045946783
289,2022-02-22,216.4953138895961,155.18464027482696,278.7227689627791
290,2022-02-23,236.94675306676453,175.7401959760211,298.9187692868107
291,2022-02-24,227.904921540268,163.78968854191504,292.27374737740405
292,2022-02-25,213.63697197307894,148.20697929593993,279.3751184269653
293,2022-02-28,209.30003271496597,146.53120198538687,272.37780230540983
294,2022-03-01,205.16784812781844,142.59986317342077,266.55800423613
295,2022-03-02,227.4836665906654,164.47265204225425,289.8747469154928
296,2022-03-03,220.18382665734072,158.72099718802727,281.97683469096927
297,2022-03-04,207.92743312175241,148.975344538808,270.7762218605829
298,2022-03-07,212.06924504086402,150.12357505638207,276.8439523753655
299,2022-03-08,211.1561945068216,152.31778410624477,276.4618268646657
300,2022-03-09,237.24765153896837,176.86170118380167,302.8247185114998
301,2022-03-10,233.27985288305538,168.4704652450184,297.1225518143042
302,2022-03-11,224.24861013239737,159.5495806473335,286.15836628581354
303,2022-03-14,237.83354959915889,172.1502072230078,303.0556989163014
304,2022-03-15,239.48431556571975,178.58647652632203,296.41140329029355
305,2022-03-16,269.64669468753476,206.92240739753962,334.56818653257847
306,2022-03-17,268.7877604529629,202.02849979702,330.78876588929603
307,2022-03-18,262.175163874007,203.11161313537713,324.58880966571166
308,2022-03-21,281.140911420453,217.39340189875952,346.5786515206822
309,2022-03-22,283.3683420411049,221.09290403793875,345.1985607185133
310,2022-03-23,313.70141695536364,251.53670808782752,376.2030446423098
311,2022-03-24,310.78933313485436,243.7016182642354,368.1283305143524
312,2022-03-25,301.3079286696874,238.60060038721934,361.9913041495229
313,2022-03-28,311.18117964395316,247.38501106927848,372.93635565364804
314,2022-03-29,309.55894141680875,244.95511787771895,369.1928457189594
315,2022-03-30,337.3138927392309,274.3949997110289,399.62645280484213
316,2022-03-31,330.05939544393465,270.2009243878069,393.65746725373384
317,2022-04-01,395.6394465041007,338.7878378864149,460.0390131156898
318,2022-04-04,396.32946654506424,333.61206084229724,456.30673127197093
319,2022-04-05,392.08948540421807,327.32489680324375,456.1394778199975
320,2022-04-06,419.1236344220182,353.3620347879724,482.6810636667261
321,2022-04-07,409.981096378497,342.9197237830073,472.581105191231
322,2022-04-08,394.236840088029,327.18055752568335,454.03422980665636
323,2022-04-11,394.15570278798765,333.1194100170424,457.46349047501803
324,2022-04-12,390.7051905577113,328.1109132387241,453.40338409491636
325,2022-04-13,420.5638122033993,354.469349658964,481.8433078236214
326,2022-04-19,409.07787433243493,343.7570737314259,476.55541557135774
327,2022-04-20,443.94470836679255,382.2238137438326,507.79430534219887
328,2022-04-21,439.76263434947066,374.5209791397585,501.54943515151604
329,2022-04-22,428.7015192276924,372.05146309522047,491.5279687146823
330,2022-04-25,447.1116535540906,383.18611309829726,511.273833879467
331,2022-04-26,448.9715351365687,390.3986520186095,511.96160460241293
332,2022-04-27,486.53439779527423,428.2350569631468,549.9713362734441
333,2022-04-28,482.7811210587158,420.59766507813174,545.5891763106
334,2022-04-29,471.23474041472053,406.0128779232433,536.6193826523405
335,2022-05-02,486.62258947365183,421.93767066494325,550.2757423683571
336,2022-05-03,486.1602445463348,422.9319926148695,552.1083453663146
337,2022-05-04,522.373379369884,460.2714417550692,584.1283567338854
338,2022-05-05,515.1879105029336,447.8865752432236,581.3808754048226
339,2022-05-06,496.7592995592071,438.33808778331735,562.5922256694713
340,2022-05-09,492.72086755550885,428.7518264459462,558.3380551448637
341,2022-05-10,485.80852867547566,422.632377691805,552.4184366131248
342,2022-05-11,516.0170631327032,455.1731952571868,577.6432720787689
343,2022-05-12,502.8208828004136,441.0343151598634,564.1556386036328
344,2022-05-13,481.79283602972805,422.8052775135851,542.5764011813711
345,2022-05-16,473.004237257878,407.1198258830037,533.6834510175997
346,2022-05-18,496.064618914458,431.37775638365144,558.2728843399987
347,2022-05-19,483.69208798869016,423.50738101325516,545.3926701009716
348,2022-05-20,464.07946557058284,394.8012700469318,530.2053068265628
349,2022-05-23,462.5129462673064,396.2484645110993,524.2558164917028
350,2022-05-24,458.39875029587887,393.82999038543073,517.8081516420109
351,2022-05-25,492.1983639262463,429.0513251915802,552.0703737049556
352,2022-05-27,467.55901677138337,403.900261706243,530.188113423374
353,2022-05-30,476.5018084228852,412.6010150083708,544.5746411580533
354,2022-05-31,475.39531517602757,405.98451680634696,538.1063503527288
355,2022-06-01,511.771168482779,450.2099998333466,575.3200414385872
356,2022-06-02,505.1941079145717,444.86374245680713,569.4332437471018
357,2022-06-03,490.9406695336408,421.93835919376994,555.2890562429345
358,2022-06-07,499.33033415382647,434.8483988755646,561.8442716284669
359,2022-06-08,534.2490738195901,468.5358449648341,595.8493582310264
360,2022-06-09,525.6583415359589,463.98457545008915,587.8011403340967
361,2022-06-10,508.8281892635967,440.34617006274436,570.0140988163284
362,2022-06-13,508.3730817158883,444.4035332960882,567.6904628960073
363,2022-06-14,502.10931645529206,439.7091042236431,567.1323726962315
364,2022-06-15,532.3421867919918,467.43838320538254,593.0131495406448
365,2022-06-16,518.9030390131422,455.15718992133253,582.7001932683074
366,2022-06-17,497.09571595790584,435.71782472068367,560.7262677480503
367,2022-06-20,481.5194850115395,418.2875534920912,542.1099490003116
368,2022-06-21,470.3868960829179,405.42748937907845,530.1620443664733
369,2022-06-22,495.88419502347955,436.3513922234775,560.8025757733195
370,2022-06-23,477.97403682622706,411.47564862141263,537.9224861721434
371,2022-06-24,451.9581293106953,386.65036857244587,512.9540858375818
372,2022-06-27,425.47052854857145,361.0657602935283,486.5051043980107
373,2022-06-28,411.3472252784139,353.1515454684375,473.02238141663275
374,2022-06-29,434.1405765794218,370.2468859003779,495.03367227195116
375,2022-06-30,413.89688454474634,348.0536867442235,476.9709520067931
376,2022-07-01,385.87328722074125,321.145603018451,451.6384527259196
377,2022-07-04,355.12328164616224,288.9644961583396,415.6859553905261
378,2022-07-05,340.1564161137017,274.4505804831128,399.9811717531074
379,2022-07-06,362.34365850584174,298.3917597666722,422.6206091952802
380,2022-07-07,341.8111829629414,280.4593834373763,402.8914089539779
381,2022-07-08,313.7798903691489,248.46949437049443,378.786752308512
382,2022-07-11,284.6526001385631,222.90612580617542,345.47145547207276
383,2022-07-12,270.8393070493089,210.8697208354257,331.3109395659212
384,2022-07-13,294.4743092785953,232.00504622298962,353.23408750049856
385,2022-07-14,275.78793949578,213.50932026413244,342.6595903484056
386,2022-07-15,249.98678581257138,185.32574337454722,311.08517634073434
387,2022-07-18,229.96557317986446,164.09613427885006,297.0153065318484
388,2022-07-19,220.07617647175442,156.50416506685085,285.28317519991646
389,2022-07-20,248.05752290377745,185.28344459432233,310.8524648041618
390,2022-07-21,234.22533519014334,170.3827895856599,297.78376139308136
391,2022-07-22,213.74412927556767,154.67935039296705,277.44048153090836
392,2022-07-25,212.18275425086324,150.8724899959633,273.482227737499
393,2022-07-26,209.19032840325733,148.10486724388068,271.9748475300097
394,2022-07-27,244.31744154520655,183.2609190273221,306.84527975535434
395,2022-07-28,237.8988040524419,177.6030830756081,299.87943588231906
396,2022-07-29,224.98920738051274,161.24409073112383,287.7896649232117
397,2022-08-01,246.1436632736023,179.225865443216,308.3863172005337
398,2022-08-02,250.43872555119884,188.8563931065955,315.9285825695698
399,2022-08-03,292.50872354457005,227.79920976428048,355.9810821368354
400,2022-08-04,292.67456362574154,228.2590030642885,360.07649456009733
401,2022-08-05,285.86056897744163,223.00555552822453,347.7419644032458
402,2022-08-08,321.4169609326587,256.1890335159641,385.96571942959747
403,2022-08-09,329.0033811369798,264.5661105229068,393.2343333119342
404,2022-08-10,373.47914665957353,309.5971208396554,435.96248413871484
405,2022-08-11,375.21495731549874,316.8913696731942,437.25298993550484
406,2022-08-12,369.08069017776853,306.8226627226259,432.66466835015484
407,2022-08-15,405.88867801279014,344.1940216321947,469.4259501977386
408,2022-08-16,412.2996028972552,352.072815095053,476.271561410951
409,2022-08-17,455.5420321814766,395.8692983537375,517.6730367362687
410,2022-08-18,454.73927417577977,390.9804918656293,517.7098511711174
411,2022-08-19,445.2486565712171,381.43297797349607,508.1542322979962
412,2022-08-22,466.2051560333112,405.31309605835264,531.2522005808022
413,2022-08-23,466.6192685195581,405.3047211837055,530.289004797174
414,2022-08-24,504.70640311539813,440.5425567031441,570.0582021284748
415,2022-08-25,497.6681573450743,438.1520879886248,561.9993966888994
416,2022-08-26,481.8725023954558,419.13145364621187,542.7433917788259
417,2022-08-29,487.0718361098867,425.43538088845736,551.6278557016713
418,2022-08-30,483.0051509502652,422.500941140596,542.1289818256623
419,2022-08-31,518.1189356639217,458.4330840732379,585.4593404576921
420,2022-09-01,507.62316333829637,442.815853814725,568.4668859769145
421,2022-09-02,488.812784131794,426.6636016108127,553.1537983974274
422,2022-09-05,490.2050893188948,427.5775038141406,555.4460175568087
423,2022-09-06,485.96831952652906,422.34079810469007,550.0895112832121
424,2022-09-07,522.3934456169261,460.92649501826423,588.8608212067486
425,2022-09-08,512.5872898560409,447.54395149276127,573.1331215601796
426,2022-09-09,494.6659935949316,432.09462453920884,557.4410831156935
427,2022-09-12,501.5887008963119,437.58884567717024,559.7129070975748
428,2022-09-13,499.26298401037775,438.4707629357826,560.9694921050001
429,2022-09-14,538.4838757518721,476.9799007529665,600.0157132660431
430,2022-09-15,530.2325571829757,471.0655684947273,594.1395129497242
431,2022-09-16,513.4422223747239,453.5354680942237,574.3078444926418
432,2022-09-19,523.1105809885738,462.1263887427671,582.8229092565349
433,2022-09-20,520.7582398291083,455.8625030382963,582.0220563737415
434,2022-09-21,560.449584015289,493.2426534851197,620.4321060994814
435,2022-09-22,551.1280359806445,489.2935756303239,613.907856253458
436,2022-09-23,532.6398961546099,468.90838489124644,593.139918783056
437,2022-09-26,536.3665506520797,470.4638263322703,598.3701206700216
438,2022-09-27,531.3637801143909,470.43929236880524,593.563167585961
439,2022-09-28,569.1958543114262,507.09108450054396,632.2843020693642
440,2022-09-29,550.9991263701486,490.95471607829364,614.5154405367371
441,2022-09-30,523.9448742574755,459.9407266554108,585.6326804261005
442,2022-10-03,503.9822017010391,441.52757302738604,568.1415987757572
443,2022-10-04,492.0124236410791,424.5397563130349,557.9239387173095
444,2022-10-05,521.2073573736202,457.3965470744101,581.9181990320259
445,2022-10-06,503.04769409764026,438.430201918845,568.5812357960396
